Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Total Current,0,,,2024-03-31T22:00:00.0000000+00:00,3/31/2024 10:00:00 PM,9.09599927451876,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-03-31T22:00:00.0000000+00:00,3/31/2024 10:00:00 PM,1453.70739414003,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-03-31T22:00:00.0000000+00:00,3/31/2024 10:00:00 PM,5.93603388415443,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-03-31T22:00:00.0000000+00:00,3/31/2024 10:00:00 PM,1249.43649583604,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-03-31T22:00:00.0000000+00:00,3/31/2024 10:00:00 PM,2.1339643588331,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-03-31T22:00:00.0000000+00:00,3/31/2024 10:00:00 PM,160.081968989902,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-03-31T22:00:00.0000000+00:00,3/31/2024 10:00:00 PM,1.02600103153123,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-03-31T22:00:00.0000000+00:00,3/31/2024 10:00:00 PM,44.1889293140835,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-03-31T23:00:00.0000000+00:00,3/31/2024 11:00:00 PM,9.0734789873163,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-03-31T23:00:00.0000000+00:00,3/31/2024 11:00:00 PM,1430.40084429317,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-03-31T23:00:00.0000000+00:00,3/31/2024 11:00:00 PM,5.88631270051003,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-03-31T23:00:00.0000000+00:00,3/31/2024 11:00:00 PM,1227.69484246148,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-03-31T23:00:00.0000000+00:00,3/31/2024 11:00:00 PM,2.1319971571366,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-03-31T23:00:00.0000000+00:00,3/31/2024 11:00:00 PM,161.31552338918,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-03-31T23:00:00.0000000+00:00,3/31/2024 11:00:00 PM,1.05516912966967,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-03-31T23:00:00.0000000+00:00,3/31/2024 11:00:00 PM,41.39047844251,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-04-01T00:00:00.0000000+00:00,4/1/2024 12:00:00 AM,9.13082891533772,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-04-01T00:00:00.0000000+00:00,4/1/2024 12:00:00 AM,1434.98481963688,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-04-01T00:00:00.0000000+00:00,4/1/2024 12:00:00 AM,5.91363168438276,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-04-01T00:00:00.0000000+00:00,4/1/2024 12:00:00 AM,1242.92854271783,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-04-01T00:00:00.0000000+00:00,4/1/2024 12:00:00 AM,2.12006116317378,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-04-01T00:00:00.0000000+00:00,4/1/2024 12:00:00 AM,155.564901576572,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-04-01T00:00:00.0000000+00:00,4/1/2024 12:00:00 AM,1.09713606778118,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-04-01T00:00:00.0000000+00:00,4/1/2024 12:00:00 AM,36.491375342475,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-04-01T01:00:00.0000000+00:00,4/1/2024 1:00:00 AM,10.649509555863,A,19343,PowerMoniMain
