Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Total Current,0,,,2024-01-31T23:00:00.0000000+00:00,1/31/2024 11:00:00 PM,9.32354138013389,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-31T23:00:00.0000000+00:00,1/31/2024 11:00:00 PM,1511.82178432252,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-31T23:00:00.0000000+00:00,1/31/2024 11:00:00 PM,5.65616503159205,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-31T23:00:00.0000000+00:00,1/31/2024 11:00:00 PM,1162.90517978244,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-01-31T23:00:00.0000000+00:00,1/31/2024 11:00:00 PM,2.19402673681577,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-01-31T23:00:00.0000000+00:00,1/31/2024 11:00:00 PM,312.624422336154,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-01-31T23:00:00.0000000+00:00,1/31/2024 11:00:00 PM,1.47334961172607,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-01-31T23:00:00.0000000+00:00,1/31/2024 11:00:00 PM,36.2921822039286,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-02-01T00:00:00.0000000+00:00,2/1/2024 12:00:00 AM,9.34018763764036,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-02-01T00:00:00.0000000+00:00,2/1/2024 12:00:00 AM,1499.81821507772,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-02-01T00:00:00.0000000+00:00,2/1/2024 12:00:00 AM,5.62825726681285,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-02-01T00:00:00.0000000+00:00,2/1/2024 12:00:00 AM,1149.55830898709,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-02-01T00:00:00.0000000+00:00,2/1/2024 12:00:00 AM,2.19258414506912,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-02-01T00:00:00.0000000+00:00,2/1/2024 12:00:00 AM,310.721074303521,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-02-01T00:00:00.0000000+00:00,2/1/2024 12:00:00 AM,1.51934622575839,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-02-01T00:00:00.0000000+00:00,2/1/2024 12:00:00 AM,39.5388317871094,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-02-01T01:00:00.0000000+00:00,2/1/2024 1:00:00 AM,9.95343402756586,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-02-01T01:00:00.0000000+00:00,2/1/2024 1:00:00 AM,1620.37522597419,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-02-01T01:00:00.0000000+00:00,2/1/2024 1:00:00 AM,5.78106878810459,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-02-01T01:00:00.0000000+00:00,2/1/2024 1:00:00 AM,1175.15177140978,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-02-01T01:00:00.0000000+00:00,2/1/2024 1:00:00 AM,2.66879666242335,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-02-01T01:00:00.0000000+00:00,2/1/2024 1:00:00 AM,406.725412173801,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-02-01T01:00:00.0000000+00:00,2/1/2024 1:00:00 AM,1.50356857703792,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-02-01T01:00:00.0000000+00:00,2/1/2024 1:00:00 AM,38.4980423906114,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-02-01T02:00:00.0000000+00:00,2/1/2024 2:00:00 AM,14.9595924508572,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-02-01T02:00:00.0000000+00:00,2/1/2024 2:00:00 AM,2613.58282253265,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-02-01T02:00:00.0000000+00:00,2/1/2024 2:00:00 AM,7.02745782852173,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-02-01T02:00:00.0000000+00:00,2/1/2024 2:00:00 AM,1405.28008544922,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-02-01T02:00:00.0000000+00:00,2/1/2024 2:00:00 AM,6.50098851203918,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-02-01T02:00:00.0000000+00:00,2/1/2024 2:00:00 AM,1176.24234008789,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-02-01T02:00:00.0000000+00:00,2/1/2024 2:00:00 AM,1.43114611029625,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-02-01T02:00:00.0000000+00:00,2/1/2024 2:00:00 AM,32.0603969955444,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-02-01T03:00:00.0000000+00:00,2/1/2024 3:00:00 AM,9.30569453557332,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-02-01T03:00:00.0000000+00:00,2/1/2024 3:00:00 AM,1507.6005188836,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-02-01T03:00:00.0000000+00:00,2/1/2024 3:00:00 AM,5.67583374010192,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-02-01T03:00:00.0000000+00:00,2/1/2024 3:00:00 AM,1162.78585703532,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-02-01T03:00:00.0000000+00:00,2/1/2024 3:00:00 AM,2.20335203707218,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-02-01T03:00:00.0000000+00:00,2/1/2024 3:00:00 AM,314.502506713867,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-02-01T03:00:00.0000000+00:00,2/1/2024 3:00:00 AM,1.42650875839922,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-02-01T03:00:00.0000000+00:00,2/1/2024 3:00:00 AM,30.312155134413,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-02-01T04:00:00.0000000+00:00,2/1/2024 4:00:00 AM,15.6580193112294,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-02-01T04:00:00.0000000+00:00,2/1/2024 4:00:00 AM,1805.43484128899,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-02-01T04:00:00.0000000+00:00,2/1/2024 4:00:00 AM,5.67514756613307,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-02-01T04:00:00.0000000+00:00,2/1/2024 4:00:00 AM,1145.65621025933,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-02-01T04:00:00.0000000+00:00,2/1/2024 4:00:00 AM,3.23865978572104,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-02-01T04:00:00.0000000+00:00,2/1/2024 4:00:00 AM,551.583195868598,W,19343,PowerMoniMain
