Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Total Current,0,,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,8.16018673991164,A,19343,PowerMoniMain
Hourly Total Power,0,,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,1480.18486802631,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,0.999384516494142,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,128.316448752085,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,5.10942921307352,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,931.920950690375,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,2.05137301034398,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,419.947468583849,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-01-01T00:00:00.0000000+00:00,1/1/2024 12:00:00 AM,8.04695065764917,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-01T00:00:00.0000000+00:00,1/1/2024 12:00:00 AM,1453.68414712058,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-01T00:00:00.0000000+00:00,1/1/2024 12:00:00 AM,0.89906669565373,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-01T00:00:00.0000000+00:00,1/1/2024 12:00:00 AM,100.912006337908,W,19343,PowerMoniMain
