Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Total Current,0,,,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,8.84617282705174,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,1331.39216884189,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,5.28678229000833,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,1075.1243117947,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,2.1464644804928,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,161.942259038289,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,1.41292605655061,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,94.3255980088976,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,8.91872428619199,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,1326.1544951121,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,5.2789275238249,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,1079.26883439806,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,2.1488089403179,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,162.451506919861,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,1.49098782204919,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,84.4341537941827,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-03-01T01:00:00.0000000+00:00,3/1/2024 1:00:00 AM,9.9123707480563,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-03-01T01:00:00.0000000+00:00,3/1/2024 1:00:00 AM,1555.29120290121,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-03-01T01:00:00.0000000+00:00,3/1/2024 1:00:00 AM,5.65040866189533,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-03-01T01:00:00.0000000+00:00,3/1/2024 1:00:00 AM,1161.21683943007,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-03-01T01:00:00.0000000+00:00,3/1/2024 1:00:00 AM,2.82163564920425,A,19343,PowerMoniMain
