Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Total Current,0,,,2024-01-07T23:00:00.0000000+00:00,1/7/2024 11:00:00 PM,11.1602806717157,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-07T23:00:00.0000000+00:00,1/7/2024 11:00:00 PM,1853.23946272956,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-07T23:00:00.0000000+00:00,1/7/2024 11:00:00 PM,3.90214819384946,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-07T23:00:00.0000000+00:00,1/7/2024 11:00:00 PM,683.007132737902,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-01-07T23:00:00.0000000+00:00,1/7/2024 11:00:00 PM,5.25118084245258,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-01-07T23:00:00.0000000+00:00,1/7/2024 11:00:00 PM,881.868518931071,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-01-07T23:00:00.0000000+00:00,1/7/2024 11:00:00 PM,2.0069516354137,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-01-07T23:00:00.0000000+00:00,1/7/2024 11:00:00 PM,288.363811060588,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-01-08T00:00:00.0000000+00:00,1/8/2024 12:00:00 AM,11.2751709675789,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-08T00:00:00.0000000+00:00,1/8/2024 12:00:00 AM,1858.4742711046,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-08T00:00:00.0000000+00:00,1/8/2024 12:00:00 AM,4.01455095218288,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-08T00:00:00.0000000+00:00,1/8/2024 12:00:00 AM,709.808111928304,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-01-08T00:00:00.0000000+00:00,1/8/2024 12:00:00 AM,5.24198191245397,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-01-08T00:00:00.0000000+00:00,1/8/2024 12:00:00 AM,858.739469087389,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-01-08T00:00:00.0000000+00:00,1/8/2024 12:00:00 AM,2.01863810294204,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-01-08T00:00:00.0000000+00:00,1/8/2024 12:00:00 AM,289.926690088908,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-01-08T01:00:00.0000000+00:00,1/8/2024 1:00:00 AM,11.064766682552,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-08T01:00:00.0000000+00:00,1/8/2024 1:00:00 AM,1825.4954990387,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-08T01:00:00.0000000+00:00,1/8/2024 1:00:00 AM,3.89964618265629,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-08T01:00:00.0000000+00:00,1/8/2024 1:00:00 AM,680.199053056505,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-01-08T01:00:00.0000000+00:00,1/8/2024 1:00:00 AM,5.21305880679025,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-01-08T01:00:00.0000000+00:00,1/8/2024 1:00:00 AM,863.282485851712,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-01-08T01:00:00.0000000+00:00,1/8/2024 1:00:00 AM,1.95206169310543,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-01-08T01:00:00.0000000+00:00,1/8/2024 1:00:00 AM,282.01396013048,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-01-08T02:00:00.0000000+00:00,1/8/2024 2:00:00 AM,11.0756988643938,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-08T02:00:00.0000000+00:00,1/8/2024 2:00:00 AM,1826.48200904846,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-08T02:00:00.0000000+00:00,1/8/2024 2:00:00 AM,3.89713142799006,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-08T02:00:00.0000000+00:00,1/8/2024 2:00:00 AM,683.072872856988,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-01-08T02:00:00.0000000+00:00,1/8/2024 2:00:00 AM,5.24838380879826,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-01-08T02:00:00.0000000+00:00,1/8/2024 2:00:00 AM,863.527853834364,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-01-08T02:00:00.0000000+00:00,1/8/2024 2:00:00 AM,1.93018362760544,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-01-08T02:00:00.0000000+00:00,1/8/2024 2:00:00 AM,279.88128235711,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-01-08T03:00:00.0000000+00:00,1/8/2024 3:00:00 AM,11.8258373856876,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-08T03:00:00.0000000+00:00,1/8/2024 3:00:00 AM,1876.21347669601,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-08T03:00:00.0000000+00:00,1/8/2024 3:00:00 AM,3.90540068282022,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-08T03:00:00.0000000+00:00,1/8/2024 3:00:00 AM,686.036385531955,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-01-08T03:00:00.0000000+00:00,1/8/2024 3:00:00 AM,5.43723918848567,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-01-08T03:00:00.0000000+00:00,1/8/2024 3:00:00 AM,802.756445327335,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-01-08T03:00:00.0000000+00:00,1/8/2024 3:00:00 AM,2.48319751438167,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-01-08T03:00:00.0000000+00:00,1/8/2024 3:00:00 AM,387.420645836724,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-01-08T04:00:00.0000000+00:00,1/8/2024 4:00:00 AM,13.8953557876415,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-08T04:00:00.0000000+00:00,1/8/2024 4:00:00 AM,2266.80146506415,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-08T04:00:00.0000000+00:00,1/8/2024 4:00:00 AM,5.86816637979613,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-08T04:00:00.0000000+00:00,1/8/2024 4:00:00 AM,1049.74493050469,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-01-08T04:00:00.0000000+00:00,1/8/2024 4:00:00 AM,5.46159698367119,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-01-08T04:00:00.0000000+00:00,1/8/2024 4:00:00 AM,828.743286760118,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-01-08T04:00:00.0000000+00:00,1/8/2024 4:00:00 AM,2.56559242417415,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-01-08T04:00:00.0000000+00:00,1/8/2024 4:00:00 AM,388.313247799344,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-01-08T05:00:00.0000000+00:00,1/8/2024 5:00:00 AM,19.1552055939701,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-08T05:00:00.0000000+00:00,1/8/2024 5:00:00 AM,3260.23160571628,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-08T05:00:00.0000000+00:00,1/8/2024 5:00:00 AM,10.72579609606,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-08T05:00:00.0000000+00:00,1/8/2024 5:00:00 AM,2004.92903805203,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-01-08T05:00:00.0000000+00:00,1/8/2024 5:00:00 AM,5.53431126183934,A,19343,PowerMoniMain
Hourly Power,3002,Phase 2,,2024-01-08T05:00:00.0000000+00:00,1/8/2024 5:00:00 AM,862.052388949924,W,19343,PowerMoniMain
Hourly Current,3003,Phase 3,,2024-01-08T05:00:00.0000000+00:00,1/8/2024 5:00:00 AM,2.89509823607074,A,19343,PowerMoniMain
Hourly Power,3003,Phase 3,,2024-01-08T05:00:00.0000000+00:00,1/8/2024 5:00:00 AM,393.250178714328,W,19343,PowerMoniMain
Hourly Total Current,0,,,2024-01-08T06:00:00.0000000+00:00,1/8/2024 6:00:00 AM,34.1863982058896,A,19343,PowerMoniMain
Hourly Total Power,0,,,2024-01-08T06:00:00.0000000+00:00,1/8/2024 6:00:00 AM,3870.70377462818,W,19343,PowerMoniMain
Hourly Current,3001,Phase 1,,2024-01-08T06:00:00.0000000+00:00,1/8/2024 6:00:00 AM,14.2069809728199,A,19343,PowerMoniMain
Hourly Power,3001,Phase 1,,2024-01-08T06:00:00.0000000+00:00,1/8/2024 6:00:00 AM,2994.57095085992,W,19343,PowerMoniMain
Hourly Current,3002,Phase 2,,2024-01-08T06:00:00.0000000+00:00,1/8/2024 6:00:00 AM,9.02824513581063,A,19343,PowerMoniMain
