Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Total Power,0,,,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,1181.71624822222,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,624000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,1181.71624822222,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,26407.8633729378,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,148.934622054444,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,61.9365455188611,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2024-02-29T23:00:00.0000000+00:00,2/29/2024 11:00:00 PM,54.6640148842472,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,1178.6696315,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,624000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,1178.6696315,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,26408.0234597285,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,149.507251862778,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,61.4533640966083,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2024-03-01T00:00:00.0000000+00:00,3/1/2024 12:00:00 AM,54.2788739783667,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2024-03-01T01:00:00.0000000+00:00,3/1/2024 1:00:00 AM,33540.7709251389,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2024-03-01T01:00:00.0000000+00:00,3/1/2024 1:00:00 AM,624262.032089444,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2024-03-01T01:00:00.0000000+00:00,3/1/2024 1:00:00 AM,33540.7709251389,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2024-03-01T01:00:00.0000000+00:00,3/1/2024 1:00:00 AM,26408.5422545576,m3,15456,Billing heatmeter MC602
