Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Total Power,0,,,2023-10-31T23:00:00.0000000+00:00,10/31/2023 11:00:00 PM,1827.45573775,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-10-31T23:00:00.0000000+00:00,10/31/2023 11:00:00 PM,577000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-10-31T23:00:00.0000000+00:00,10/31/2023 11:00:00 PM,1827.45573775,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-10-31T23:00:00.0000000+00:00,10/31/2023 11:00:00 PM,24299.1227307827,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-10-31T23:00:00.0000000+00:00,10/31/2023 11:00:00 PM,149.812989427778,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-10-31T23:00:00.0000000+00:00,10/31/2023 11:00:00 PM,62.0758114246222,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-10-31T23:00:00.0000000+00:00,10/31/2023 11:00:00 PM,51.1598021532139,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-11-01T00:00:00.0000000+00:00,11/1/2023 12:00:00 AM,1891.53902572222,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-11-01T00:00:00.0000000+00:00,11/1/2023 12:00:00 AM,577000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-11-01T00:00:00.0000000+00:00,11/1/2023 12:00:00 AM,1891.53902572222,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-11-01T00:00:00.0000000+00:00,11/1/2023 12:00:00 AM,24299.2596639606,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-11-01T00:00:00.0000000+00:00,11/1/2023 12:00:00 AM,148.034900673611,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-11-01T00:00:00.0000000+00:00,11/1/2023 12:00:00 AM,62.8614880860139,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-11-01T00:00:00.0000000+00:00,11/1/2023 12:00:00 AM,51.3533562917222,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-11-01T01:00:00.0000000+00:00,11/1/2023 1:00:00 AM,6310.05449461111,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-11-01T01:00:00.0000000+00:00,11/1/2023 1:00:00 AM,577000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-11-01T01:00:00.0000000+00:00,11/1/2023 1:00:00 AM,6310.05449461111,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-11-01T01:00:00.0000000+00:00,11/1/2023 1:00:00 AM,24299.4159583682,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-11-01T01:00:00.0000000+00:00,11/1/2023 1:00:00 AM,281.923698636944,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-11-01T01:00:00.0000000+00:00,11/1/2023 1:00:00 AM,62.6853662258722,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-11-01T01:00:00.0000000+00:00,11/1/2023 1:00:00 AM,50.1633197931167,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-11-01T02:00:00.0000000+00:00,11/1/2023 2:00:00 AM,32935.2153096944,W,15456,Billing heatmeter MC602
