Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Total Power,0,,,2023-09-30T22:00:00.0000000+00:00,9/30/2023 10:00:00 PM,4405.25083033333,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-30T22:00:00.0000000+00:00,9/30/2023 10:00:00 PM,570000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-30T22:00:00.0000000+00:00,9/30/2023 10:00:00 PM,4405.25083033333,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-30T22:00:00.0000000+00:00,9/30/2023 10:00:00 PM,23972.0014669015,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-30T22:00:00.0000000+00:00,9/30/2023 10:00:00 PM,200.404939695555,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-30T22:00:00.0000000+00:00,9/30/2023 10:00:00 PM,60.1632844093055,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-30T22:00:00.0000000+00:00,9/30/2023 10:00:00 PM,40.3371541470805,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-30T23:00:00.0000000+00:00,9/30/2023 11:00:00 PM,3515.05401794444,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-30T23:00:00.0000000+00:00,9/30/2023 11:00:00 PM,570000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-30T23:00:00.0000000+00:00,9/30/2023 11:00:00 PM,3515.05401794444,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-30T23:00:00.0000000+00:00,9/30/2023 11:00:00 PM,23972.1726756157,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-30T23:00:00.0000000+00:00,9/30/2023 11:00:00 PM,150.4070040475,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-30T23:00:00.0000000+00:00,9/30/2023 11:00:00 PM,59.7475045499222,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-30T23:00:00.0000000+00:00,9/30/2023 11:00:00 PM,38.9531802577111,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-10-01T00:00:00.0000000+00:00,10/1/2023 12:00:00 AM,4455.34712911111,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-10-01T00:00:00.0000000+00:00,10/1/2023 12:00:00 AM,570000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-10-01T00:00:00.0000000+00:00,10/1/2023 12:00:00 AM,4455.34712911111,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-10-01T00:00:00.0000000+00:00,10/1/2023 12:00:00 AM,23972.3607852435,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-10-01T00:00:00.0000000+00:00,10/1/2023 12:00:00 AM,202.600430687222,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-10-01T00:00:00.0000000+00:00,10/1/2023 12:00:00 AM,60.2086407416417,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-10-01T00:00:00.0000000+00:00,10/1/2023 12:00:00 AM,40.4926667074667,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-10-01T01:00:00.0000000+00:00,10/1/2023 1:00:00 AM,4522.84673636111,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-10-01T01:00:00.0000000+00:00,10/1/2023 1:00:00 AM,570000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-10-01T01:00:00.0000000+00:00,10/1/2023 1:00:00 AM,4522.84673636111,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-10-01T01:00:00.0000000+00:00,10/1/2023 1:00:00 AM,23972.5657983991,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-10-01T01:00:00.0000000+00:00,10/1/2023 1:00:00 AM,204.068030033611,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-10-01T01:00:00.0000000+00:00,10/1/2023 1:00:00 AM,60.3264157804556,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-10-01T01:00:00.0000000+00:00,10/1/2023 1:00:00 AM,40.5998083641333,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-10-01T02:00:00.0000000+00:00,10/1/2023 2:00:00 AM,3524.48055980556,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-10-01T02:00:00.0000000+00:00,10/1/2023 2:00:00 AM,570000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-10-01T02:00:00.0000000+00:00,10/1/2023 2:00:00 AM,3524.48055980556,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-10-01T02:00:00.0000000+00:00,10/1/2023 2:00:00 AM,23972.748148589,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-10-01T02:00:00.0000000+00:00,10/1/2023 2:00:00 AM,148.62657685,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-10-01T02:00:00.0000000+00:00,10/1/2023 2:00:00 AM,59.9989259982972,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-10-01T02:00:00.0000000+00:00,10/1/2023 2:00:00 AM,38.98333159395,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-10-01T03:00:00.0000000+00:00,10/1/2023 3:00:00 AM,4577.19215994444,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-10-01T03:00:00.0000000+00:00,10/1/2023 3:00:00 AM,570000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-10-01T03:00:00.0000000+00:00,10/1/2023 3:00:00 AM,4577.19215994444,W,15456,Billing heatmeter MC602
