Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly Total Power,0,,,2023-08-31T22:00:00.0000000+00:00,8/31/2023 10:00:00 PM,2148.20552236111,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-08-31T22:00:00.0000000+00:00,8/31/2023 10:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-08-31T22:00:00.0000000+00:00,8/31/2023 10:00:00 PM,2148.20552236111,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-08-31T22:00:00.0000000+00:00,8/31/2023 10:00:00 PM,23857.956682232,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-08-31T22:00:00.0000000+00:00,8/31/2023 10:00:00 PM,149.81308154,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-08-31T22:00:00.0000000+00:00,8/31/2023 10:00:00 PM,59.6166824389778,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-08-31T22:00:00.0000000+00:00,8/31/2023 10:00:00 PM,46.8041881510972,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-08-31T23:00:00.0000000+00:00,8/31/2023 11:00:00 PM,2187.39829425,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-08-31T23:00:00.0000000+00:00,8/31/2023 11:00:00 PM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-08-31T23:00:00.0000000+00:00,8/31/2023 11:00:00 PM,2187.39829425,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-08-31T23:00:00.0000000+00:00,8/31/2023 11:00:00 PM,23858.1099602839,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-08-31T23:00:00.0000000+00:00,8/31/2023 11:00:00 PM,149.524611184167,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-08-31T23:00:00.0000000+00:00,8/31/2023 11:00:00 PM,59.6044449899805,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-08-31T23:00:00.0000000+00:00,8/31/2023 11:00:00 PM,46.5626160547861,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T00:00:00.0000000+00:00,9/1/2023 12:00:00 AM,989.272897777778,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T00:00:00.0000000+00:00,9/1/2023 12:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T00:00:00.0000000+00:00,9/1/2023 12:00:00 AM,989.272897777778,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T00:00:00.0000000+00:00,9/1/2023 12:00:00 AM,23858.2532951849,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T00:00:00.0000000+00:00,9/1/2023 12:00:00 AM,144.763580704444,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T00:00:00.0000000+00:00,9/1/2023 12:00:00 AM,59.4161013662111,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T00:00:00.0000000+00:00,9/1/2023 12:00:00 AM,53.0861210354333,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T01:00:00.0000000+00:00,9/1/2023 1:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T01:00:00.0000000+00:00,9/1/2023 1:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T01:00:00.0000000+00:00,9/1/2023 1:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T01:00:00.0000000+00:00,9/1/2023 1:00:00 AM,23858.4031957026,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T01:00:00.0000000+00:00,9/1/2023 1:00:00 AM,151,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T01:00:00.0000000+00:00,9/1/2023 1:00:00 AM,59.4317947707083,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T01:00:00.0000000+00:00,9/1/2023 1:00:00 AM,59.1095197900194,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,23858.5499231181,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,151.593614779722,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,59.4727040080944,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T02:00:00.0000000+00:00,9/1/2023 2:00:00 AM,59.1755697556889,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,23858.7133508961,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,151.000189114722,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,59.5482981675583,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T03:00:00.0000000+00:00,9/1/2023 3:00:00 AM,59.2383369989333,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,0,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,23858.8549755683,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,146.254105692222,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,60.1602710427306,°C,15456,Billing heatmeter MC602
Hourly Temperature,4706,Input 6,Temp return,2023-09-01T04:00:00.0000000+00:00,9/1/2023 4:00:00 AM,59.7541714396806,°C,15456,Billing heatmeter MC602
Hourly Total Power,0,,,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,5378.32116636111,W,15456,Billing heatmeter MC602
Hourly accumulated-heat,4701,Input 1,Energy,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,569000,kWh,15456,Billing heatmeter MC602
Hourly Power,4702,Input 2,Power,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,5378.32116636111,W,15456,Billing heatmeter MC602
Hourly accumulated-flow,4703,Input 3,Volume,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,23859.1106503759,m3,15456,Billing heatmeter MC602
Hourly uncalibrated-flow-speed,4704,Input 4,Flow,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,277.886694707778,L/h,15456,Billing heatmeter MC602
Hourly Temperature,4705,Input 5,Temp supply,2023-09-01T05:00:00.0000000+00:00,9/1/2023 5:00:00 AM,61.5076484099,°C,15456,Billing heatmeter MC602
