Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly apparent-power,2801,PowerMoniSpot,,2024-03-18T07:00:00.0000000+00:00,3/18/2024 7:00:00 AM,1590.31832640625,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-03-18T07:00:00.0000000+00:00,3/18/2024 7:00:00 AM,883.510181336806,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-03-18T08:00:00.0000000+00:00,3/18/2024 8:00:00 AM,1592.8347736875,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-03-18T08:00:00.0000000+00:00,3/18/2024 8:00:00 AM,884.908207604167,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-03-18T09:00:00.0000000+00:00,3/18/2024 9:00:00 AM,1598.22880878125,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-03-18T09:00:00.0000000+00:00,3/18/2024 9:00:00 AM,887.904893767361,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-03-18T10:00:00.0000000+00:00,3/18/2024 10:00:00 AM,1590.9570331875,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-03-18T10:00:00.0000000+00:00,3/18/2024 10:00:00 AM,883.8650184375,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-03-18T11:00:00.0000000+00:00,3/18/2024 11:00:00 AM,1576.1929759375,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-03-18T11:00:00.0000000+00:00,3/18/2024 11:00:00 AM,877.1716703125,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-03-18T12:00:00.0000000+00:00,3/18/2024 12:00:00 PM,1577.20184328125,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-03-18T12:00:00.0000000+00:00,3/18/2024 12:00:00 PM,876.223246267361,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-03-18T13:00:00.0000000+00:00,3/18/2024 1:00:00 PM,1574.3278275625,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-03-18T13:00:00.0000000+00:00,3/18/2024 1:00:00 PM,874.626570868056,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-03-18T14:00:00.0000000+00:00,3/18/2024 2:00:00 PM,1584.0284234375,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-03-18T14:00:00.0000000+00:00,3/18/2024 2:00:00 PM,880.015790798611,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-03-18T15:00:00.0000000+00:00,3/18/2024 3:00:00 PM,1584.32877409375,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-03-18T15:00:00.0000000+00:00,3/18/2024 3:00:00 PM,880.182652274305,,17888,Ventilation Loft
