Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly humidity,5801,Sht30,,2024-02-11T23:00:00.0000000+00:00,2/11/2024 11:00:00 PM,35.1800916666667,%,17903,Programmør kontor Co2 
Hourly Temperature,5801,Sht30,,2024-02-11T23:00:00.0000000+00:00,2/11/2024 11:00:00 PM,18.408,°C,17903,Programmør kontor Co2 
Hourly co2-concentration,5802,SensairSunlight,,2024-02-11T23:00:00.0000000+00:00,2/11/2024 11:00:00 PM,417.433888888889,ppm,17903,Programmør kontor Co2 
Hourly Temperature,5802,SensairSunlight,,2024-02-11T23:00:00.0000000+00:00,2/11/2024 11:00:00 PM,19.097425,°C,17903,Programmør kontor Co2 
Hourly humidity,5801,Sht30,,2024-02-12T00:00:00.0000000+00:00,2/12/2024 12:00:00 AM,34.9678694444444,%,17903,Programmør kontor Co2 
Hourly Temperature,5801,Sht30,,2024-02-12T00:00:00.0000000+00:00,2/12/2024 12:00:00 AM,18.7153277777778,°C,17903,Programmør kontor Co2 
Hourly co2-concentration,5802,SensairSunlight,,2024-02-12T00:00:00.0000000+00:00,2/12/2024 12:00:00 AM,418.449166666667,ppm,17903,Programmør kontor Co2 
Hourly Temperature,5802,SensairSunlight,,2024-02-12T00:00:00.0000000+00:00,2/12/2024 12:00:00 AM,19.3897722222222,°C,17903,Programmør kontor Co2 
Hourly humidity,5801,Sht30,,2024-02-12T01:00:00.0000000+00:00,2/12/2024 1:00:00 AM,34.9158444444444,%,17903,Programmør kontor Co2 
Hourly Temperature,5801,Sht30,,2024-02-12T01:00:00.0000000+00:00,2/12/2024 1:00:00 AM,18.9245472222222,°C,17903,Programmør kontor Co2 
Hourly co2-concentration,5802,SensairSunlight,,2024-02-12T01:00:00.0000000+00:00,2/12/2024 1:00:00 AM,420.311388888889,ppm,17903,Programmør kontor Co2 
Hourly Temperature,5802,SensairSunlight,,2024-02-12T01:00:00.0000000+00:00,2/12/2024 1:00:00 AM,19.6291444444444,°C,17903,Programmør kontor Co2 
Hourly humidity,5801,Sht30,,2024-02-12T02:00:00.0000000+00:00,2/12/2024 2:00:00 AM,34.7360638888889,%,17903,Programmør kontor Co2 
Hourly Temperature,5801,Sht30,,2024-02-12T02:00:00.0000000+00:00,2/12/2024 2:00:00 AM,19.1978472222222,°C,17903,Programmør kontor Co2 
Hourly co2-concentration,5802,SensairSunlight,,2024-02-12T02:00:00.0000000+00:00,2/12/2024 2:00:00 AM,422.757777777778,ppm,17903,Programmør kontor Co2 
Hourly Temperature,5802,SensairSunlight,,2024-02-12T02:00:00.0000000+00:00,2/12/2024 2:00:00 AM,19.8754805555556,°C,17903,Programmør kontor Co2 
Hourly humidity,5801,Sht30,,2024-02-12T03:00:00.0000000+00:00,2/12/2024 3:00:00 AM,34.6518777777778,%,17903,Programmør kontor Co2 
Hourly Temperature,5801,Sht30,,2024-02-12T03:00:00.0000000+00:00,2/12/2024 3:00:00 AM,19.4045083333333,°C,17903,Programmør kontor Co2 
Hourly co2-concentration,5802,SensairSunlight,,2024-02-12T03:00:00.0000000+00:00,2/12/2024 3:00:00 AM,422.792222222222,ppm,17903,Programmør kontor Co2 
Hourly Temperature,5802,SensairSunlight,,2024-02-12T03:00:00.0000000+00:00,2/12/2024 3:00:00 AM,20.117225,°C,17903,Programmør kontor Co2 
Hourly humidity,5801,Sht30,,2024-02-12T04:00:00.0000000+00:00,2/12/2024 4:00:00 AM,34.6504138888889,%,17903,Programmør kontor Co2 
Hourly Temperature,5801,Sht30,,2024-02-12T04:00:00.0000000+00:00,2/12/2024 4:00:00 AM,19.5465916666667,°C,17903,Programmør kontor Co2 
Hourly co2-concentration,5802,SensairSunlight,,2024-02-12T04:00:00.0000000+00:00,2/12/2024 4:00:00 AM,422.279722222222,ppm,17903,Programmør kontor Co2 
Hourly Temperature,5802,SensairSunlight,,2024-02-12T04:00:00.0000000+00:00,2/12/2024 4:00:00 AM,20.2641166666667,°C,17903,Programmør kontor Co2 
Hourly humidity,5801,Sht30,,2024-02-12T05:00:00.0000000+00:00,2/12/2024 5:00:00 AM,34.6422833333333,%,17903,Programmør kontor Co2 
Hourly Temperature,5801,Sht30,,2024-02-12T05:00:00.0000000+00:00,2/12/2024 5:00:00 AM,19.6820777777778,°C,17903,Programmør kontor Co2 
