Data type,UnitTypeInput Id,UnitTypeInput Name,Unit Input Custom Name,Timestamp,Timestamp short (UTC),Value,Base,Unit Id,Unit Name
Hourly apparent-power,2801,PowerMoniSpot,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,49.9755375146484,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2023-12-31T23:00:00.0000000+00:00,12/31/2023 11:00:00 PM,27.764187508138,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T00:00:00.0000000+00:00,1/1/2024 12:00:00 AM,49.8835391523438,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T00:00:00.0000000+00:00,1/1/2024 12:00:00 AM,27.7130773068576,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T01:00:00.0000000+00:00,1/1/2024 1:00:00 AM,53.0548268232422,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T01:00:00.0000000+00:00,1/1/2024 1:00:00 AM,29.4749037906901,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T02:00:00.0000000+00:00,1/1/2024 2:00:00 AM,59.5085942480469,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T02:00:00.0000000+00:00,1/1/2024 2:00:00 AM,33.0603301378038,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T03:00:00.0000000+00:00,1/1/2024 3:00:00 AM,59.0889141650391,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T03:00:00.0000000+00:00,1/1/2024 3:00:00 AM,32.8271745361328,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T04:00:00.0000000+00:00,1/1/2024 4:00:00 AM,63.6181502167969,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T04:00:00.0000000+00:00,1/1/2024 4:00:00 AM,35.3434167871094,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T05:00:00.0000000+00:00,1/1/2024 5:00:00 AM,56.61880515625,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T05:00:00.0000000+00:00,1/1/2024 5:00:00 AM,31.4548917534722,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T06:00:00.0000000+00:00,1/1/2024 6:00:00 AM,1390.36786476855,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T06:00:00.0000000+00:00,1/1/2024 6:00:00 AM,772.426591538086,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T07:00:00.0000000+00:00,1/1/2024 7:00:00 AM,1201.1534061875,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T07:00:00.0000000+00:00,1/1/2024 7:00:00 AM,667.307447881944,,17888,Ventilation Loft
Hourly apparent-power,2801,PowerMoniSpot,,2024-01-01T08:00:00.0000000+00:00,1/1/2024 8:00:00 AM,1173.15471909375,VA,17888,Ventilation Loft
Hourly Uncalibrated,2801,PowerMoniSpot,,2024-01-01T08:00:00.0000000+00:00,1/1/2024 8:00:00 AM,651.75262171875,,17888,Ventilation Loft
